Month,Precipitation,Temperature
Jan,133.59,7.3
Feb,129.31,9.3
Mar,138.73,13.4
Apr,150.34,17.5
May,117.25,22.1
Jun,112.11,26.1
Jul,92.63,27.9
Aug,79.35,27.7
Sep,101.86,24.5
Oct,122.17,18.2
Nov,112.09,12.4
Dec,140.45,8.4
